prompt_system_name,prompt_source_file,loki_system_name,scope,n_admissions,prompt_n_gt_matched_pairs,loki_n_gt_matched_pairs,prompt_n_clusters,loki_n_clusters,prompt_raw_pair_cluster_purity,loki_raw_pair_cluster_purity,prompt_raw_pair_oracle_precision,prompt_raw_pair_oracle_recall,prompt_raw_pair_oracle_f1,loki_raw_pair_oracle_f1,prompt_cluster_label_macro_precision,loki_cluster_label_macro_precision,prompt_cluster_label_macro_recall,loki_cluster_label_macro_recall,prompt_cluster_label_macro_f1,loki_cluster_label_macro_f1,prompt_cluster_label_accuracy,loki_cluster_label_accuracy,prompt_cluster_ari,loki_cluster_ari,delta_raw_pair_oracle_f1,delta_cluster_label_macro_f1,delta_cluster_label_accuracy,prompt_single_type_admissions,loki_single_type_admissions,prompt_more_pairs_admissions,equal_pair_count_admissions,prompt_fewer_pairs_admissions,prompt_more_clusters_admissions,equal_cluster_count_admissions,prompt_fewer_clusters_admissions
Qwen-3.7,Qwen-3.7.json,LOKI+GPT-OSS 20B,matched_all,377,4117,2726,544,2014,0.9975,0.9956,0.9969,0.7158,0.8166,0.6268,0.966,0.7555,0.9626,0.7559,0.9637,0.743,0.9577,0.8406,0.984,0.8083,0.1898,0.2207,0.1171,149,207,308,38,31,3,26,348
Qwen-3.7,Qwen-3.7.json,LOKI+GPT-OSS 20B,matched_multitype_overlap,164,2103,1525,301,1143,0.9946,0.9898,0.9932,0.6226,0.7497,0.5927,0.9329,0.5598,0.9268,0.5812,0.9289,0.5449,0.9336,0.7603,0.9754,0.7471,0.157,0.384,0.1733,0,0,129,18,17,2,4,158
Qwen-3.7,Qwen-3.7.json,LOKI+Qwen-3.6,matched_all,379,4127,2899,546,2109,0.9975,0.9949,0.9969,0.7161,0.8167,0.6526,0.9661,0.7504,0.9628,0.7332,0.9639,0.7267,0.9579,0.807,0.9841,0.86,0.1641,0.2372,0.1509,151,197,302,38,39,2,23,354
Qwen-3.7,Qwen-3.7.json,LOKI+Qwen-3.6,matched_multitype_overlap,176,2222,1681,315,1230,0.9956,0.989,0.9943,0.6245,0.7523,0.6098,0.9375,0.539,0.9318,0.5582,0.9337,0.5261,0.9365,0.7285,0.9827,0.771,0.1425,0.4076,0.208,0,0,136,15,25,2,6,168
Qwen3.6-Local,Qwen3.6-Local.json,LOKI+GPT-OSS 20B,matched_all,377,3078,2726,519,2014,0.9984,0.9956,0.993,0.5391,0.6772,0.6268,0.931,0.7555,0.9279,0.7559,0.929,0.743,0.9191,0.8406,0.984,0.8083,0.0504,0.186,0.0785,169,207,213,54,110,4,25,348
Qwen3.6-Local,Qwen3.6-Local.json,LOKI+GPT-OSS 20B,matched_multitype_overlap,154,1473,1454,268,1084,0.996,0.9899,0.986,0.4507,0.6009,0.5871,0.8809,0.5647,0.8766,0.5822,0.8781,0.5469,0.8843,0.7555,0.983,0.7436,0.0138,0.3312,0.1288,0,0,70,20,64,2,4,148
Qwen3.6-Local,Qwen3.6-Local.json,LOKI+Qwen-3.6,matched_all,379,3085,2899,521,2109,0.9984,0.9949,0.9931,0.5394,0.6774,0.6526,0.9314,0.7504,0.9283,0.7332,0.9293,0.7267,0.9194,0.807,0.9841,0.86,0.0248,0.2026,0.1124,171,197,187,70,122,3,21,355
Qwen3.6-Local,Qwen3.6-Local.json,LOKI+Qwen-3.6,matched_multitype_overlap,165,1568,1608,284,1167,0.9963,0.9905,0.987,0.4567,0.6074,0.6067,0.8808,0.5365,0.8768,0.5546,0.8781,0.5226,0.8838,0.7266,0.9841,0.7708,0.0007,0.3555,0.1572,0,0,70,27,68,2,4,159
