dataset,fold,model,cpu_cores,cpu_name,gpu_type,gpu_total_memory_gb,inference_peak_cpu_gb,inference_peak_gpu_gb,inference_wall_time_s,m_features,n_test,n_train,system_ram_gb,timestamp,train_examples,train_peak_cpu_gb,train_peak_gpu_gb,train_wall_time_s
REG_TRANSPORTATION_USED_CAR_PAKISTAN,0,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3618049621582031,0.7900390625,0.508699893951416,9,2000,10000,1007.672779083252,2025-08-02 07:06:16,10000,1.359539031982422,0.7900390625,10.688580751419067
REG_TRANSPORTATION_USED_CAR_PAKISTAN,1,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3811302185058594,0.7900390625,0.5137386322021484,9,2000,10000,1007.672779083252,2025-08-02 07:06:13,10000,1.381072998046875,0.7900390625,10.066733837127686
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,9,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3772125244140625,0.7861328125,0.5086464881896973,7,1639,10000,1007.672779083252,2025-08-02 07:06:05,10000,1.3768653869628906,0.7861328125,10.015738010406494
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,8,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3781242370605469,0.7861328125,0.5171427726745605,7,1639,10000,1007.672779083252,2025-08-02 07:06:03,10000,1.37359619140625,0.7861328125,9.589260339736938
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,4,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3779335021972656,0.7861328125,0.5088369846343994,7,1639,10000,1007.6727294921876,2025-08-02 07:02:19,10000,1.3770713806152344,0.7861328125,12.6597638130188
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,7,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3760032653808594,0.7861328125,0.5175187587738037,7,1639,10000,1007.6727294921876,2025-08-02 07:02:18,10000,1.375946044921875,0.7861328125,11.097498655319214
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,6,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3609657287597656,0.7861328125,0.5082745552062988,7,1639,10000,1007.6727294921876,2025-08-02 07:02:16,10000,1.374420166015625,0.7861328125,9.582653760910034
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,5,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3763656616210938,0.7861328125,0.50830078125,7,1639,10000,1007.6727294921876,2025-08-02 07:02:18,10000,1.3757781982421875,0.7861328125,11.035467863082886
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,2,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3760910034179688,0.7861328125,0.5172030925750732,7,1639,10000,1007.672779083252,2025-08-02 07:01:43,10000,1.3760299682617188,0.7861328125,10.05900526046753
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,3,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3754730224609375,0.7861328125,0.5175876617431641,7,1639,10000,1007.672779083252,2025-08-02 07:01:42,10000,1.3754119873046875,0.7861328125,10.034222841262816
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,0,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3712615966796875,0.7861328125,0.5175511837005615,7,1639,10000,1007.672779083252,2025-08-02 07:01:35,10000,1.3712043762207031,0.7861328125,11.052374839782717
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,1,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3802146911621094,0.7861328125,0.5118274688720703,7,1639,10000,1007.672779083252,2025-08-02 07:01:29,10000,1.3801536560058594,0.7861328125,10.050788879394531
REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,8,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3164596557617188,0.7880859375,0.5045754909515381,22,166,1503,1007.6727294921876,2025-08-02 06:58:20,10000,1.330963134765625,0.7880859375,10.537249565124512
REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,7,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3261260986328125,0.7880859375,0.5098247528076172,22,166,1503,1007.6727294921876,2025-08-02 06:58:23,10000,1.3405494689941406,0.7880859375,14.527092456817629
REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,6,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.326946258544922,0.7880859375,0.5010757446289062,22,166,1503,1007.6727294921876,2025-08-02 06:58:19,10000,1.4104537963867188,0.7880859375,10.520268440246582
REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,9,XGBoost 🌲,8,AMD EPYC 7742 64-Core Processor,NVIDIA A100-SXM4-40GB,39.58612060546875,1.3276519775390625,0.7880859375,0.5050168037414551,22,166,1503,1007.6727294921876,2025-08-02 06:58:20,10000,1.342376708984375,0.7880859375,11.52876114845276
