dataset,fold,model,Runtime,cpu_cores,cpu_name,gpu_total_memory_gb,gpu_type,inference_peak_cpu_gb,inference_peak_gpu_gb,inference_wall_time_s,m_features,n_test,n_train,system_ram_gb,timestamp,train_examples,train_peak_cpu_gb,train_peak_gpu_gb,train_wall_time_s
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,4,TabSTAR 🌟,289,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7836418151855469,0.9208984375,1.0014638900756836,12,803,7232,1007.6864013671876,2025-08-08 16:09:36,10000,1.790618896484375,1.4267578125,284.6599774360657
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,3,TabSTAR 🌟,256,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7868537902832031,0.9208984375,0.5006155967712402,12,803,7232,1007.6727752685548,2025-08-08 16:06:07,10000,1.8340988159179688,1.4306640625,253.1094093322754
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,2,TabSTAR 🌟,512,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7701492309570312,0.9208984375,1.0018486976623535,12,803,7232,1007.672779083252,2025-08-08 16:08:58,10000,1.8916511535644531,1.4072265625,508.0295207500458
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,1,TabSTAR 🌟,323,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.781147003173828,0.9208984375,1.0016083717346191,12,803,7232,1007.6864013671876,2025-08-08 16:04:03,10000,1.7755279541015625,1.4638671875,319.3092625141144
REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,0,TabSTAR 🌟,299,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7889862060546875,0.9208984375,1.0017473697662354,12,803,7232,1007.672779083252,2025-08-08 16:03:03,10000,1.7944564819335938,1.4267578125,295.95723032951355
REG_TRANSPORTATION_USED_CAR_PAKISTAN,9,TabSTAR 🌟,212,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.8050804138183592,0.9208984375,1.000962495803833,9,2000,10000,1007.6727752685548,2025-08-08 16:00:45,10000,1.817340850830078,1.3681640625,208.13796496391296
REG_TRANSPORTATION_USED_CAR_PAKISTAN,8,TabSTAR 🌟,523,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.798076629638672,0.9208984375,2.0020060539245605,9,2000,10000,1007.6650276184082,2025-08-08 16:05:22,10000,1.7839469909667969,1.3583984375,516.8819136619568
REG_TRANSPORTATION_USED_CAR_PAKISTAN,7,TabSTAR 🌟,411,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.801860809326172,0.9208984375,2.0056161880493164,9,2000,10000,1007.6864013671876,2025-08-08 16:01:59,10000,1.794513702392578,1.3505859375,400.53738498687744
REG_TRANSPORTATION_USED_CAR_PAKISTAN,5,TabSTAR 🌟,508,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7950668334960938,0.9208984375,2.003603935241699,9,2000,10000,1007.6864013671876,2025-08-08 16:02:32,10000,1.8133316040039065,1.3486328125,495.0353560447693
REG_TRANSPORTATION_USED_CAR_PAKISTAN,6,TabSTAR 🌟,187,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.8077507019042969,0.9228515625,1.0010268688201904,9,2000,10000,1007.6727752685548,2025-08-08 15:56:10,10000,1.81146240234375,1.3193359375,182.1880271434784
REG_TRANSPORTATION_USED_CAR_PAKISTAN,4,TabSTAR 🌟,346,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.8267250061035156,0.9208984375,2.001946210861206,9,2000,10000,1007.672779083252,2025-08-08 15:58:32,10000,1.8192787170410156,1.3525390625,339.9885313510895
REG_TRANSPORTATION_USED_CAR_PAKISTAN,3,TabSTAR 🌟,335,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.788005828857422,0.9228515625,2.0075626373291016,9,2000,10000,1007.6864013671876,2025-08-08 15:56:42,10000,1.792034149169922,1.3095703125,329.4547584056854
REG_TRANSPORTATION_USED_CAR_PAKISTAN,1,TabSTAR 🌟,329,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.788311004638672,0.9208984375,2.0039174556732178,9,2000,10000,1007.6650276184082,2025-08-08 15:55:03,10000,1.7937469482421875,1.3330078125,323.55156564712524
REG_TRANSPORTATION_USED_CAR_PAKISTAN,0,TabSTAR 🌟,715,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.8102951049804688,0.9208984375,2.0018601417541504,9,2000,10000,1007.6864013671876,2025-08-08 16:01:23,10000,1.8029060363769531,1.3193359375,709.5837304592133
REG_TRANSPORTATION_USED_CAR_PAKISTAN,2,TabSTAR 🌟,156,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.8233795166015625,0.9208984375,1.000946283340454,9,2000,10000,1007.6727752685548,2025-08-08 15:52:01,10000,1.8043899536132812,1.3486328125,151.86516904830933
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,9,TabSTAR 🌟,523,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7778816223144531,0.9208984375,1.5078864097595217,7,1639,10000,1007.672779083252,2025-08-08 15:56:22,10000,1.7750473022460938,1.3525390625,518.177225112915
REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,8,TabSTAR 🌟,118,8,AMD EPYC 7742 64-Core Processor,39.58612060546875,NVIDIA A100-SXM4-40GB,1.7681846618652344,0.9208984375,1.00476336479187,7,1639,10000,1007.6727752685548,2025-08-08 15:48:20,10000,1.7561531066894531,1.4228515625,115.12243628501892
