model,dataset_size,dataset,fold,Created,optuna_n_trials
TabM-Tuned 〽️,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,9,2025-10-12T17:40:55.000Z,191
TabM-Tuned 〽️,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,8,2025-10-12T17:21:02.000Z,175
TabM-Tuned 〽️,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,7,2025-10-12T16:56:19.000Z,176
TabM-Tuned 〽️,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,6,2025-10-12T16:53:12.000Z,187
TabM-Tuned 〽️,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,5,2025-10-12T16:51:11.000Z,187
TabM-Tuned 〽️,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,4,2025-10-12T16:49:13.000Z,154
TabM-Tuned 〽️,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,3,2025-10-12T16:47:27.000Z,176
TabM-Tuned 〽️,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,2,2025-10-12T16:41:41.000Z,113
TabM-Tuned 〽️,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,1,2025-10-12T16:38:32.000Z,196
TabM-Tuned 〽️,10000,REG_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,0,2025-10-12T16:18:11.000Z,182
TabM-Tuned 〽️,10000,REG_SPORTS_FIFA22_WAGES,9,2025-10-12T15:52:42.000Z,151
TabM-Tuned 〽️,10000,REG_SPORTS_FIFA22_WAGES,8,2025-10-12T15:50:08.000Z,130
TabM-Tuned 〽️,10000,REG_SPORTS_FIFA22_WAGES,7,2025-10-12T15:45:58.000Z,144
TabM-Tuned 〽️,10000,REG_SPORTS_FIFA22_WAGES,6,2025-10-12T15:44:00.000Z,188
TabM-Tuned 〽️,10000,REG_SPORTS_FIFA22_WAGES,5,2025-10-12T15:43:29.000Z,104
TabM-Tuned 〽️,10000,REG_SPORTS_FIFA22_WAGES,4,2025-10-12T15:36:14.000Z,107
TabM-Tuned 〽️,10000,REG_SPORTS_FIFA22_WAGES,3,2025-10-12T15:34:44.000Z,171
TabM-Tuned 〽️,10000,REG_SPORTS_FIFA22_WAGES,2,2025-10-12T15:13:31.000Z,161
TabM-Tuned 〽️,10000,REG_SPORTS_FIFA22_WAGES,1,2025-10-12T14:49:25.000Z,149
TabM-Tuned 〽️,10000,REG_SPORTS_FIFA22_WAGES,0,2025-10-12T14:46:09.000Z,107
TabM-Tuned 〽️,10000,REG_SOCIAL_VIDEO_GAMES_SALES,9,2025-10-12T14:39:03.000Z,52
