model,dataset_size,dataset,fold,Created,optuna_n_trials
LightGBM-Tuned ⚡,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,8,2025-07-22T15:47:07.000Z,299
LightGBM-Tuned ⚡,100000,REG_SOCIAL_MOVIES_DATASET_REVENUE,2,2025-07-22T15:47:07.000Z,332
LightGBM-Tuned ⚡,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,7,2025-07-22T15:46:12.000Z,309
LightGBM-Tuned ⚡,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,5,2025-07-22T15:37:20.000Z,439
LightGBM-Tuned ⚡,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,1,2025-07-22T15:37:05.000Z,381
LightGBM-Tuned ⚡,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,2,2025-07-22T15:37:03.000Z,374
LightGBM-Tuned ⚡,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,0,2025-07-22T15:37:03.000Z,302
LightGBM-Tuned ⚡,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,6,2025-07-22T15:35:11.000Z,262
LightGBM-Tuned ⚡,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,4,2025-07-22T15:29:43.000Z,225
LightGBM-Tuned ⚡,100000,REG_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE,3,2025-07-22T15:25:11.000Z,255
LightGBM-Tuned ⚡,100000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,5,2025-07-22T15:20:36.000Z,190
LightGBM-Tuned ⚡,100000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,4,2025-07-22T15:20:36.000Z,198
LightGBM-Tuned ⚡,100000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,9,2025-07-22T15:20:35.000Z,194
LightGBM-Tuned ⚡,100000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,8,2025-07-22T15:20:34.000Z,205
LightGBM-Tuned ⚡,100000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,7,2025-07-22T15:20:30.000Z,187
LightGBM-Tuned ⚡,100000,REG_CONSUMER_MERCARI_ONLINE_MARKETPLACE,6,2025-07-22T15:20:30.000Z,196
