model,dataset_size,dataset,fold,Created,optuna_n_trials
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,6,2025-07-21T23:41:57.000Z,91
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,5,2025-07-21T23:32:39.000Z,95
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,4,2025-07-21T23:30:52.000Z,96
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,3,2025-07-21T23:29:28.000Z,97
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,2,2025-07-21T23:27:27.000Z,78
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,1,2025-07-21T23:26:29.000Z,73
RealMLP-Tuned 🌐,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,0,2025-07-21T23:25:26.000Z,67
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,9,2025-07-21T23:22:02.000Z,76
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,8,2025-07-21T23:19:17.000Z,54
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,7,2025-07-21T23:18:49.000Z,70
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,6,2025-07-21T23:18:45.000Z,85
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,5,2025-07-21T23:18:08.000Z,53
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,4,2025-07-21T23:09:22.000Z,77
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,3,2025-07-21T23:06:34.000Z,72
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,2,2025-07-21T23:05:04.000Z,66
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,1,2025-07-21T22:54:46.000Z,77
RealMLP-Tuned 🌐,10000,REG_SOCIAL_BOOK_READABILITY_CLEAR,0,2025-07-21T21:48:18.000Z,133
RealMLP-Tuned 🌐,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,9,2025-07-21T20:55:28.000Z,32
RealMLP-Tuned 🌐,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,8,2025-07-21T20:48:13.000Z,37
RealMLP-Tuned 🌐,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,7,2025-07-21T20:24:49.000Z,40
RealMLP-Tuned 🌐,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,6,2025-07-21T20:23:55.000Z,26
RealMLP-Tuned 🌐,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,5,2025-07-21T20:18:45.000Z,36
RealMLP-Tuned 🌐,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,4,2025-07-21T20:08:39.000Z,36
RealMLP-Tuned 🌐,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,3,2025-07-21T20:06:20.000Z,40
RealMLP-Tuned 🌐,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,2,2025-07-21T19:55:00.000Z,22
RealMLP-Tuned 🌐,10000,REG_SOCIAL_FILMTV_MOVIE_RATING_ITALY,1,2025-07-21T19:40:37.000Z,38
