model,dataset_size,dataset,fold,Created,optuna_n_trials
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,1,2025-05-01T19:42:45.000Z,43
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,8,2025-05-01T20:42:32.000Z,44
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,5,2025-04-30T05:37:43.000Z,45
XGBoost-Tuned 🍃,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,3,2025-04-30T06:23:53.000Z,46
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,3,2025-05-02T07:52:56.000Z,46
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,2,2025-04-29T14:32:26.000Z,47
XGBoost-Tuned 🍃,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,4,2025-04-27T23:09:00.000Z,47
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,0,2025-05-01T12:09:42.000Z,47
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,9,2025-04-30T04:29:22.000Z,47
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,7,2025-04-29T20:35:03.000Z,48
XGBoost-Tuned 🍃,10000,MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS,0,2025-05-02T07:13:10.000Z,49
XGBoost-Tuned 🍃,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,3,2025-04-27T23:00:52.000Z,50
XGBoost-Tuned 🍃,10000,REG_SOCIAL_MOVIES_ROTTEN_TOMATOES,2,2025-04-28T11:01:32.000Z,50
XGBoost-Tuned 🍃,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,2,2025-04-27T22:49:55.000Z,51
XGBoost-Tuned 🍃,10000,MUL_SOCIAL_GOOGLE_QA_TYPE_REASON,6,2025-04-30T04:49:55.000Z,51
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,8,2025-04-27T14:26:10.000Z,51
XGBoost-Tuned 🍃,10000,MUL_TRANSPORTATION_US_ACCIDENTS_MARCH23,2,2025-04-27T14:26:10.000Z,51
XGBoost-Tuned 🍃,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,0,2025-04-27T22:48:58.000Z,51
XGBoost-Tuned 🍃,10000,REG_FOOD_ZOMATO_RESTAURANTS,6,2025-05-01T11:32:51.000Z,52
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,7,2025-04-30T00:47:53.000Z,52
XGBoost-Tuned 🍃,10000,MUL_FOOD_WINE_REVIEW,5,2025-04-29T14:14:08.000Z,52
